Timestamp (seconds),system activated, Acceleration in X (Gs),Acceleration in Y (Gs), Altitude (meters),Acceleration in X filtered by KF (Gs),Acceleration in Y filtered by KF (Gs),Acceleration in Z filtered by KF (Gs),Roll (degrees),Pitch (degrees),Yaw (degrees),Event type,level
15.87,1,-0.01,-0.023,0.013,-0.014,-0.015,0.017,-1.589,0.029,0.103,0,0
15.97,1,0.022,0.031,0.014,0,0.005,0.015,-1.59,0.027,0.103,0,0
16.07,1,-0.012,0.026,-0.001,0.002,0.014,0.009,-1.589,0.027,0.103,0,0
16.17,1,-0.021,0.008,0.003,-0.012,0.012,0.002,-1.588,0.023,0.103,0,0
16.27,1,-0.044,-0.007,0.013,-0.03,0.006,0.008,-1.589,0.025,0.103,0,0
16.37,1,-0.004,0.021,0.01,-0.02,0.009,0.008,-1.59,0.028,0.103,0,0
16.47,1,0.018,0.023,0.013,-0.001,0.017,0.012,-1.589,0.026,0.102,0,0
16.57,1,-0.005,0.033,0.002,0,0.022,0.01,-1.59,0.023,0.101,0,0
16.67,1,-0.007,0.034,0.011,-0.001,0.03,0.006,-1.59,0.022,0.1,0,0
16.77,1,0,0.014,0.004,-0.002,0.03,0.007,-1.592,0.02,0.099,0,0
16.97,1,0.008,-0.038,-0.009,0.002,-0.015,-0.004,-1.592,0.011,0.097,0,0
17.07,1,-0.024,-0.011,0.01,-0.004,-0.012,0.003,-1.593,0.01,0.096,0,0
17.17,1,-0.006,0.011,-0.01,-0.013,-0.005,-0.004,-1.592,0.01,0.095,0,0
17.28,1,-0.02,0.008,-0.004,-0.018,0.002,-0.005,-1.593,0.009,0.094,0,0
17.38,1,-0.018,-0.006,0.001,-0.015,0.003,-0.005,-1.594,0.005,0.093,0,0
17.48,1,-0.03,0.015,-0.005,-0.025,0.005,-0.005,-1.594,0.002,0.091,0,0
17.58,1,-0.006,0.02,0.003,-0.018,0.014,0.001,-1.594,0.003,0.09,0,0
17.68,1,0.038,0.067,0,0.012,0.038,0.001,-1.596,0.004,0.089,0,0
17.78,1,0.029,0.033,-0.002,0.028,0.046,0.002,-1.595,0.005,0.088,0,0
17.88,1,0.022,0.049,-0.012,0.024,0.035,-0.003,-1.594,0.006,0.087,0,0
17.98,1,-0.04,-0.026,-0.007,-0.004,0.015,-0.009,-1.595,0.006,0.085,0,0
18.08,1,-0.035,0.014,-0.008,-0.024,0.012,-0.01,-1.595,0.006,0.084,0,0
18.18,1,-0.026,0.012,-0.03,-0.031,0.005,-0.014,-1.595,0.006,0.083,0,0
18.28,1,-0.037,0.007,-0.026,-0.027,0.014,-0.028,-1.591,0.004,0.082,0,0
18.38,1,-0.033,0.014,-0.044,-0.035,0.011,-0.029,-1.59,0.002,0.08,0,0
18.48,1,-0.027,0.001,-0.038,-0.031,0.008,-0.038,-1.586,-0.001,0.079,0,0
18.58,1,-0.002,0.022,-0.054,-0.02,0.012,-0.044,-1.582,-0.001,0.078,0,0
18.68,1,-0.02,0.014,-0.035,-0.013,0.017,-0.043,-1.579,-0.002,0.076,0,0
18.78,1,-0.012,0.018,-0.054,-0.019,0.015,-0.047,-1.574,-0.004,0.075,0,0
18.88,1,-0.016,0.01,-0.042,-0.013,0.014,-0.048,-1.569,-0.006,0.074,0,0
18.98,1,0.001,0.018,-0.033,-0.009,0.008,-0.036,-1.567,-0.005,0.072,0,0
19.08,1,-0.012,-0.015,-0.056,-0.007,0.008,-0.046,-1.563,-0.001,0.071,0,0
19.18,1,-0.007,0.017,-0.038,-0.005,0.007,-0.045,-1.564,-0.001,0.07,0,0
19.28,1,-0.012,0.002,-0.043,-0.016,-0.004,-0.042,-1.565,-0.001,0.068,0,0
19.38,1,-0.04,-0.013,-0.02,-0.021,0,-0.033,-1.565,0,0.067,0,0
19.49,1,-0.011,0.01,-0.03,-0.02,0.007,-0.031,-1.565,0,0.066,0,0
19.59,1,0.01,0.023,-0.015,-0.007,0.011,-0.021,-1.564,0.002,0.065,0,0
19.69,1,0.011,0.02,-0.015,0.005,0.015,-0.019,-1.563,0.003,0.063,0,0
19.79,1,-0.053,0.014,-0.008,-0.014,0.021,-0.017,-1.564,0.001,0.062,0,0
19.89,1,-0.062,0.004,0.006,-0.044,0.009,-0.003,-1.565,-0.001,0.061,0,0
19.99,1,-0.05,0.003,0.032,-0.052,0.005,0.013,-1.571,-0.004,0.06,0,0
20.09,1,0.003,0.016,0.04,-0.029,0.012,0.027,-1.575,-0.007,0.059,0,0
20.19,1,0.026,-0.009,0.023,0.001,0.001,0.032,-1.578,-0.008,0.058,0,0
20.29,1,0.026,-0.015,0.042,0.019,-0.003,0.03,-1.581,-0.011,0.057,0,0
20.39,1,0.022,0.001,-0.001,0.02,-0.015,0.025,-1.583,-0.015,0.056,0,0
20.49,1,0.01,-0.022,0.009,0.018,-0.005,0.011,-1.582,-0.017,0.055,0,0
20.6,1,-0.039,-0.031,-0.001,-0.004,-0.027,0.008,-1.583,-0.02,0.055,0,0
20.69,1,-0.104,-0.013,0.004,-0.054,-0.014,0.001,-1.585,-0.024,0.054,0,0
20.79,1,-0.065,0.002,-0.003,-0.075,-0.012,0,-1.587,-0.028,0.054,0,0
20.89,1,-0.012,-0.042,0.016,-0.051,-0.022,0.006,-1.59,-0.032,0.053,0,0
20.99,1,0.052,-0.004,0.017,0.007,-0.015,0.01,-1.592,-0.031,0.053,0,0
21.09,1,0.052,-0.01,-0.002,0.037,-0.011,0.011,-1.591,-0.033,0.052,0,0
21.19,1,-0.01,-0.013,-0.001,0.019,-0.011,-0.001,-1.591,-0.034,0.053,0,0
21.29,1,-0.009,0.004,-0.009,0,-0.005,-0.003,-1.592,-0.031,0.052,0,0
21.39,1,-0.026,-0.006,-0.003,-0.011,-0.005,-0.003,-1.592,-0.031,0.053,0,0
21.49,1,-0.031,-0.008,-0.008,-0.026,-0.007,-0.005,-1.591,-0.033,0.054,0,0
21.59,1,-0.027,-0.032,-0.005,-0.025,-0.017,-0.006,-1.592,-0.032,0.055,0,0
21.7,1,0.011,-0.017,0.001,-0.013,-0.019,-0.004,-1.592,-0.031,0.056,0,0
21.8,1,0.002,-0.043,0.001,0,-0.032,0.001,-1.593,-0.031,0.058,0,0
21.9,1,0.006,-0.055,-0.014,0.005,-0.041,-0.007,-1.592,-0.031,0.06,0,0
22,1,-0.025,-0.037,-0.017,-0.01,-0.043,-0.011,-1.591,-0.028,0.062,0,0
22.09,1,-0.048,-0.057,-0.003,-0.028,-0.047,-0.01,-1.591,-0.025,0.065,0,0
22.19,1,-0.04,-0.034,-0.012,-0.04,-0.041,-0.01,-1.591,-0.023,0.067,0,0
22.3,1,-0.018,-0.039,-0.013,-0.032,-0.046,-0.011,-1.591,-0.021,0.071,0,0
22.4,1,0.001,-0.061,-0.009,-0.011,-0.042,-0.011,-1.591,-0.019,0.074,0,0
22.5,1,-0.001,-0.05,-0.002,-0.007,-0.054,-0.009,-1.591,-0.019,0.078,0,0
22.6,1,-0.019,-0.064,0,-0.009,-0.056,0,-1.59,-0.016,0.083,0,0
22.7,1,-0.012,-0.056,-0.001,-0.011,-0.057,-0.004,-1.59,-0.01,0.088,0,0
22.8,1,-0.014,-0.06,-0.021,-0.016,-0.065,-0.007,-1.589,-0.006,0.092,0,0
22.9,1,-0.005,-0.081,0.006,-0.012,-0.063,-0.006,-1.588,-0.003,0.098,0,0
23,1,-0.043,-0.046,-0.011,-0.016,-0.057,-0.005,-1.587,0,0.103,0,0
23.1,1,-0.02,-0.049,-0.007,-0.024,-0.056,-0.009,-1.587,0.006,0.108,0,0
23.2,1,-0.04,-0.056,-0.015,-0.035,-0.059,-0.006,-1.588,0.011,0.113,0,0
23.3,1,-0.035,-0.048,-0.021,-0.033,-0.052,-0.018,-1.587,0.01,0.117,0,0
23.4,1,-0.02,-0.013,-0.003,-0.029,-0.035,-0.011,-1.589,0.01,0.121,0,0
23.5,1,-0.03,-0.051,-0.01,-0.028,-0.034,-0.009,-1.59,0.01,0.126,0,0
23.6,1,-0.025,-0.015,-0.01,-0.028,-0.028,-0.009,-1.59,0.01,0.131,0,0
23.7,1,0.027,-0.002,0.004,-0.006,-0.02,-0.005,-1.588,0.007,0.135,0,0
23.8,1,0.03,-0.015,-0.013,0.019,-0.016,-0.007,-1.588,0.01,0.139,0,0
23.9,1,0.032,-0.025,0.002,0.029,-0.008,-0.004,-1.588,0.017,0.144,0,0
24,1,-0.1,0.018,-0.059,-0.026,-0.013,-0.025,-1.588,0.02,0.148,0,0
24.11,1,-0.15,-0.005,-0.016,-0.096,0,-0.035,-1.591,0.024,0.152,0,0
24.2,1,-0.091,0.006,0.001,-0.105,0.002,-0.007,-1.596,0.025,0.155,0,0
24.3,1,-0.064,0.025,-0.042,-0.081,0.01,-0.023,-1.595,0.019,0.156,0,0
24.4,1,-0.054,0.053,-0.001,-0.07,0.036,-0.021,-1.596,0.015,0.157,0,0
24.5,1,0.065,0.093,0.018,-0.009,0.059,0.006,-1.597,0.008,0.157,0,0
24.6,1,0.053,0.139,-0.016,0.032,0.099,-0.004,-1.595,0.002,0.157,0,0
24.71,1,0.01,0.096,0.007,0.031,0.105,-0.001,-1.593,0.002,0.155,0,0
24.81,1,-0.008,0.122,0.001,0.006,0.117,0.001,-1.592,0.006,0.154,0,0
24.91,1,0.003,0.083,-0.001,0,0.102,0.002,-1.592,0.005,0.153,0,0
25.01,1,0.001,0.061,-0.006,0.006,0.083,-0.006,-1.591,0.001,0.151,0,0
25.11,1,-0.032,0.084,-0.019,-0.009,0.074,-0.01,-1.59,-0.003,0.148,0,0
25.21,1,-0.031,0.077,0.004,-0.028,0.081,-0.005,-1.592,-0.007,0.146,0,0
25.31,1,-0.007,0.079,0.012,-0.019,0.08,0.005,-1.593,-0.009,0.144,0,0
25.41,1,0.007,0.064,-0.017,-0.006,0.068,-0.003,-1.591,-0.017,0.141,0,0
25.51,1,-0.022,0.069,-0.004,-0.009,0.068,-0.007,-1.591,-0.022,0.138,0,0
25.61,1,-0.07,0.089,0.004,-0.035,0.075,-0.001,-1.593,-0.027,0.134,0,0
25.71,1,-0.055,0.079,0.016,-0.054,0.081,0.006,-1.594,-0.033,0.131,0,0
25.81,1,-0.044,0.09,0.001,-0.045,0.087,0.006,-1.596,-0.04,0.127,0,0
25.91,1,0.06,0.063,0.033,-0.007,0.077,0.015,-1.597,-0.045,0.124,0,0
26.02,1,0.001,0.12,-0.029,0.007,0.097,0.008,-1.597,-0.051,0.119,0,0
26.11,1,0.032,0.15,-0.011,0.023,0.122,-0.019,-1.598,-0.051,0.113,0,0
26.21,1,-0.016,0.078,0.039,0.003,0.102,0.014,-1.598,-0.05,0.106,0,0
26.31,1,0.002,0.108,-0.004,-0.001,0.1,0.007,-1.594,-0.055,0.099,0,0
26.41,1,-0.016,0.173,-0.018,-0.002,0.136,-0.004,-1.592,-0.056,0.092,0,0
26.51,1,-0.062,0.149,0.002,-0.027,0.149,-0.006,-1.592,-0.063,0.086,0,0
26.61,1,-0.068,0.096,0.025,-0.055,0.129,0.008,-1.596,-0.069,0.079,0,0
26.71,1,-0.006,0.053,0.014,-0.043,0.092,0.018,-1.599,-0.075,0.073,0,0
26.81,1,0.078,0.031,0.013,0.017,0.053,0.009,-1.598,-0.077,0.067,0,0
27.01,1,0.017,0.039,0.037,0.01,0.022,0.024,-1.598,-0.077,0.058,0,0
27.12,1,-0.014,0.044,0.014,0.009,0.029,0.027,-1.598,-0.077,0.056,0,0
27.22,1,-0.02,0.016,0.014,-0.015,0.032,0.018,-1.598,-0.076,0.053,0,0
27.32,1,-0.011,-0.053,0.041,-0.009,0.001,0.024,-1.597,-0.076,0.051,0,0
27.42,1,-0.015,-0.06,0.019,-0.014,-0.043,0.028,-1.597,-0.078,0.048,0,0
27.52,1,0.042,-0.007,0.044,0.008,-0.037,0.031,-1.597,-0.081,0.045,0,0
27.62,1,0.001,0.001,0.044,0.019,-0.014,0.041,-1.596,-0.081,0.042,0,0
27.72,1,-0.031,-0.027,0.012,-0.007,-0.01,0.029,-1.597,-0.076,0.041,0,0
27.83,1,-0.018,-0.01,0.047,-0.016,-0.016,0.034,-1.603,-0.067,0.039,0,0
27.92,1,-0.03,-0.012,-0.002,-0.027,-0.01,0.021,-1.605,-0.067,0.038,0,0
28.02,1,-0.022,-0.007,0.036,-0.027,-0.011,0.022,-1.608,-0.066,0.037,0,0
28.12,1,-0.006,-0.024,0.025,-0.016,-0.015,0.028,-1.611,-0.062,0.036,0,0
28.22,1,-0.012,-0.036,0.028,-0.009,-0.021,0.025,-1.613,-0.058,0.035,0,0
28.32,1,0.012,-0.011,0.03,-0.006,-0.029,0.028,-1.615,-0.057,0.034,0,0
28.42,1,0.05,-0.027,0.046,0.024,-0.018,0.037,-1.616,-0.058,0.034,0,0
28.52,1,0.034,-0.032,0.015,0.036,-0.026,0.028,-1.618,-0.058,0.033,0,0
28.62,1,-0.007,-0.017,0.039,0.017,-0.03,0.031,-1.622,-0.056,0.032,0,0
28.72,1,-0.009,-0.018,0.031,0.001,-0.019,0.033,-1.626,-0.058,0.031,0,0
28.82,1,-0.048,-0.036,0.039,-0.023,-0.024,0.034,-1.629,-0.059,0.03,0,0
28.92,1,-0.024,-0.007,0.052,-0.027,-0.021,0.043,-1.631,-0.06,0.03,0,0
29.03,1,-0.019,0.011,0.019,-0.023,-0.007,0.036,-1.634,-0.056,0.029,0,0
29.13,1,-0.013,-0.016,0.037,-0.019,-0.004,0.032,-1.639,-0.052,0.029,0,0
29.22,1,0.007,-0.028,0.042,-0.004,-0.019,0.038,-1.644,-0.048,0.028,0,0
29.32,1,-0.006,-0.029,0.012,-0.008,-0.022,0.028,-1.647,-0.048,0.028,0,0
29.44,1,0.015,-0.04,0.046,-0.001,-0.031,0.032,-1.65,-0.045,0.029,0,0
29.53,1,0.06,-0.058,0.035,0.034,-0.048,0.038,-1.653,-0.039,0.03,0,0
29.63,1,0.019,-0.06,0.009,0.04,-0.051,0.025,-1.652,-0.035,0.032,0,0
29.73,1,-0.073,-0.065,0.001,-0.013,-0.059,0.008,-1.652,-0.028,0.035,0,0
29.83,1,-0.076,-0.059,0.033,-0.058,-0.062,0.02,-1.656,-0.022,0.038,0,0
29.93,1,0.007,-0.029,0.026,-0.037,-0.048,0.027,-1.658,-0.015,0.041,0,0
30.03,1,0.032,-0.062,0.013,0.003,-0.051,0.019,-1.658,-0.01,0.045,0,0
30.13,1,0.014,-0.047,0.004,0.015,-0.048,0.015,-1.658,-0.006,0.048,0,0
30.23,1,-0.023,-0.053,0.006,0,-0.047,0.004,-1.659,-0.001,0.052,0,0
30.33,1,-0.009,-0.058,0.026,-0.012,-0.054,0.014,-1.661,0.003,0.055,0,0
30.44,1,0.004,-0.02,0.007,-0.005,-0.042,0.016,-1.662,0.005,0.058,0,0
30.53,1,0.006,-0.025,-0.007,0.007,-0.03,0.004,-1.661,0.009,0.06,0,0
30.63,1,0.001,-0.029,-0.01,0.002,-0.031,-0.005,-1.66,0.012,0.063,0,0
30.73,1,0.003,0.013,-0.025,0.002,-0.013,-0.014,-1.658,0.013,0.066,0,0
30.83,1,0.004,0.025,-0.004,0.005,0.013,-0.014,-1.656,0.008,0.067,0,0
30.93,1,-0.025,0.004,-0.021,-0.007,0.015,-0.014,-1.657,0.005,0.069,0,0
31.03,1,-0.008,0.008,0,-0.019,0.001,-0.009,-1.657,0.004,0.069,0,0
31.13,1,0.015,0.004,-0.014,0,0.004,-0.007,-1.656,0.003,0.07,0,0
31.23,1,0.014,-0.011,-0.006,0.01,0.003,-0.01,-1.655,0.003,0.071,0,0
31.33,1,-0.008,-0.006,-0.01,0.004,-0.008,-0.007,-1.655,0.003,0.073,0,0
31.43,1,-0.011,0.01,-0.005,-0.006,0.001,-0.01,-1.655,0.003,0.074,0,0
31.53,1,-0.022,0.006,-0.004,-0.01,0.004,-0.005,-1.652,0,0.075,0,0
31.63,1,-0.028,0.029,-0.017,-0.022,0.014,-0.01,-1.649,-0.004,0.076,0,0
31.73,1,-0.029,0.013,-0.015,-0.027,0.017,-0.014,-1.648,-0.007,0.076,0,0
31.84,1,-0.041,0.007,-0.005,-0.033,0.013,-0.01,-1.648,-0.009,0.077,0,0
31.93,1,-0.012,0.008,0.013,-0.027,0.011,0.002,-1.649,-0.01,0.078,0,0
32.03,1,0.016,0.025,-0.016,-0.003,0.017,-0.003,-1.648,-0.015,0.078,0,0
32.13,1,0.017,0.054,-0.024,0.009,0.032,-0.017,-1.645,-0.023,0.078,0,0
32.24,1,-0.056,0.032,-0.005,-0.015,0.037,-0.013,-1.645,-0.024,0.078,0,0
32.34,1,-0.082,0.029,0.001,-0.052,0.029,-0.004,-1.647,-0.026,0.078,0,0
32.44,1,-0.046,0.023,-0.001,-0.057,0.03,-0.002,-1.647,-0.029,0.077,0,0
32.54,1,0.003,0.025,0.001,-0.032,0.03,-0.001,-1.646,-0.034,0.077,0,0
32.64,1,0.022,0.016,0,-0.001,0.021,-0.001,-1.646,-0.034,0.077,0,0
32.74,1,0,0.016,-0.01,0.01,0.017,-0.004,-1.646,-0.033,0.077,0,0
32.84,1,0.008,0.029,-0.025,0.006,0.022,-0.012,-1.642,-0.032,0.077,0,0
32.94,1,-0.024,0.015,-0.031,-0.008,0.022,-0.023,-1.64,-0.036,0.077,0,0
33.04,1,-0.012,0.013,-0.025,-0.016,0.016,-0.027,-1.638,-0.039,0.076,0,0
33.14,1,0.005,0,-0.017,-0.008,0.009,-0.021,-1.637,-0.036,0.076,0,0
33.24,1,0.023,0.015,-0.016,0.011,0.008,-0.017,-1.636,-0.038,0.076,0,0
33.34,1,0,0.041,-0.024,0.012,0.025,-0.023,-1.634,-0.038,0.076,0,0
33.44,1,-0.037,0.036,-0.019,-0.014,0.03,-0.018,-1.634,-0.04,0.076,0,0
33.54,1,0,0.017,-0.071,-0.013,0.027,-0.039,-1.629,-0.041,0.076,0,0
33.64,1,0.024,-0.003,-0.1,0.005,0.013,-0.071,-1.619,-0.039,0.076,0,0
33.74,1,-0.003,-0.008,-0.096,0.006,0.003,-0.091,-1.608,-0.039,0.076,0,0
33.84,1,-0.003,0.006,-0.076,-0.002,0.002,-0.087,-1.601,-0.041,0.076,0,0
33.95,1,0.019,0.012,-0.072,0.009,0.006,-0.079,-1.593,-0.043,0.076,0,0
34.05,1,0.008,0.017,-0.062,0.01,0.01,-0.07,-1.589,-0.043,0.076,0,0
34.15,1,-0.023,0.028,-0.053,-0.002,0.021,-0.06,-1.585,-0.044,0.076,0,0
34.24,1,-0.036,0.002,-0.053,-0.018,0.013,-0.059,-1.58,-0.046,0.076,0,0
34.34,1,-0.031,0.01,0.004,-0.028,0.008,-0.031,-1.579,-0.047,0.076,0,0
34.44,1,-0.021,0.02,-0.006,-0.03,0.016,-0.012,-1.579,-0.049,0.075,0,0
34.55,1,0.009,-0.013,0.019,-0.01,0.002,0.002,-1.579,-0.048,0.075,0,0
