Timestamp (seconds),system activated, Acceleration in X (Gs),Acceleration in Y (Gs), Altitude (meters),Acceleration in X filtered by KF (Gs),Acceleration in Y filtered by KF (Gs),Acceleration in Z filtered by KF (Gs),Roll (degrees),Pitch (degrees),Yaw (degrees),Event type,level
19.62,1,0.019,-0.025,0.01,0.004,-0.018,0.034,-1.573,0.033,-1.547,0,0
19.72,1,-0.029,-0.028,0.022,-0.002,-0.02,0.02,-1.574,0.035,-1.545,0,0
19.83,1,0.011,-0.029,0.01,0.004,-0.033,0.019,-1.573,0.036,-1.543,0,0
19.92,1,-0.052,0.016,-0.002,-0.039,-0.005,0.009,-1.572,0.032,-1.541,0,0
20.02,1,0.077,0.001,-0.023,0.024,0.002,-0.003,-1.574,0.032,-1.54,0,0
20.12,1,-0.08,0.042,-0.025,-0.008,0.021,-0.023,-1.576,0.029,-1.538,0,0
20.22,1,-0.032,-0.023,0.009,-0.039,0.001,-0.007,-1.578,0.029,-1.536,0,0
20.32,1,-0.003,0.04,0.004,-0.026,0.014,-0.002,-1.579,0.028,-1.535,0,0
20.42,1,0.017,0.035,0.004,-0.003,0.028,-0.003,-1.579,0.029,-1.534,0,0
20.52,1,0.045,-0.006,-0.021,0.03,0.017,-0.002,-1.578,0.031,-1.532,0,0
20.62,1,0.036,0.046,-0.043,0.038,0.027,-0.02,-1.572,0.03,-1.533,0,0
20.73,1,0.005,0.05,-0.02,0.018,0.037,-0.029,-1.567,0.025,-1.534,0,0
20.83,1,-0.065,0.088,-0.019,-0.015,0.057,-0.022,-1.566,0.018,-1.535,0,0
20.93,1,-0.04,0.024,-0.014,-0.042,0.057,-0.02,-1.567,0.016,-1.536,0,0
21.03,1,-0.051,0.006,-0.027,-0.047,0.024,-0.021,-1.566,0.012,-1.537,0,0
21.12,1,0.034,0.023,0.009,-0.012,0.021,-0.008,-1.567,0.006,-1.538,0,0
21.22,1,0.023,0.061,-0.01,0.013,0.037,-0.007,-1.568,-0.001,-1.539,0,0
21.32,1,0.04,0.028,0.001,0.033,0.036,0.002,-1.567,-0.007,-1.54,0,0
21.42,1,-0.009,0.016,-0.029,0.006,0.035,-0.016,-1.565,-0.009,-1.541,0,0
21.53,1,0.005,0.005,-0.017,0.011,0.015,-0.018,-1.562,-0.012,-1.543,0,0
21.62,1,-0.05,0.001,-0.015,-0.018,0.005,-0.017,-1.559,-0.013,-1.543,0,0
21.72,1,-0.012,0.016,-0.01,-0.028,0.012,-0.015,-1.559,-0.013,-1.544,0,0
21.82,1,-0.042,0.027,-0.015,-0.034,0.021,-0.014,-1.561,-0.013,-1.545,0,0
21.92,1,0.037,0,0.014,0.007,0.006,-0.002,-1.563,-0.013,-1.545,0,0
22.02,1,0.023,-0.001,-0.006,0.01,0.007,-0.001,-1.563,-0.013,-1.545,0,0
22.13,1,-0.002,0.01,-0.029,0.013,0.006,-0.013,-1.56,-0.014,-1.546,0,0
22.23,1,0.008,-0.02,-0.02,0.012,-0.005,-0.019,-1.557,-0.013,-1.546,0,0
22.32,1,-0.019,-0.016,-0.018,-0.008,-0.013,-0.022,-1.555,-0.011,-1.546,0,0
22.42,1,-0.035,0.002,-0.015,-0.023,-0.01,-0.016,-1.556,-0.009,-1.546,0,0
22.52,1,-0.027,0.003,-0.008,-0.027,-0.008,-0.016,-1.558,-0.007,-1.546,0,0
22.63,1,-0.057,0.026,-0.035,-0.04,0.013,-0.024,-1.559,-0.007,-1.546,0,0
22.73,1,0.018,-0.03,0.011,-0.021,0.002,-0.009,-1.56,-0.007,-1.546,0,0
22.82,1,0.036,-0.038,-0.015,0.016,-0.024,-0.001,-1.56,-0.008,-1.546,0,0
22.92,1,-0.016,0.003,-0.018,0.006,-0.014,-0.013,-1.559,-0.009,-1.546,0,0
23.02,1,0.019,0.009,-0.002,0.015,0,-0.008,-1.557,-0.008,-1.545,0,0
23.12,1,-0.001,0.008,-0.001,0.005,0.007,-0.005,-1.556,-0.007,-1.545,0,0
23.23,1,-0.005,-0.003,0.01,-0.007,0.005,-0.001,-1.559,-0.009,-1.544,0,0
23.33,1,0.048,-0.001,0.059,0.012,-0.005,0.03,-1.559,-0.011,-1.544,0,0
23.44,1,0.033,0.003,0.039,0.029,0.003,0.037,-1.558,-0.01,-1.543,0,0
23.54,1,-0.001,0.005,0.02,0.03,0.002,0.031,-1.559,-0.004,-1.543,0,0
23.63,1,0.001,0.002,0.035,0.004,0.007,0.028,-1.56,0,-1.543,0,0
23.73,1,-0.016,0.014,0.037,0.001,0.005,0.039,-1.563,0.002,-1.543,0,0
23.83,1,-0.049,-0.016,0.035,-0.025,0.001,0.033,-1.565,0.004,-1.543,0,0
23.93,1,-0.024,-0.017,0.052,-0.033,-0.012,0.043,-1.57,0.002,-1.543,0,0
24.03,1,0.012,0.016,0.046,-0.012,-0.005,0.045,-1.572,0.002,-1.543,0,0
24.13,1,0.01,0.043,0.038,-0.004,0.019,0.039,-1.575,-0.001,-1.543,0,0
24.23,1,-0.027,-0.007,0.012,-0.004,0.01,0.029,-1.576,0,-1.543,0,0
24.33,1,-0.036,-0.055,0.048,-0.025,-0.012,0.028,-1.577,0.002,-1.543,0,0
24.44,1,-0.057,-0.033,0.05,-0.038,-0.029,0.048,-1.578,0.002,-1.544,0,0
24.53,1,-0.037,0.009,0.035,-0.035,-0.03,0.043,-1.579,-0.001,-1.544,0,0
24.64,1,-0.016,-0.007,0.06,-0.032,0.003,0.049,-1.581,-0.004,-1.544,0,0
24.74,1,0.009,0.016,0.036,-0.014,0.005,0.044,-1.581,-0.006,-1.544,0,0
24.83,1,0.016,0.037,0.043,-0.001,0.021,0.045,-1.582,-0.006,-1.544,0,0
24.93,1,-0.034,0.038,0.051,-0.001,0.029,0.045,-1.589,-0.005,-1.544,0,0
25.03,1,-0.042,-0.016,0.035,-0.032,0.012,0.044,-1.596,-0.001,-1.544,0,0
25.13,1,-0.024,-0.005,0.038,-0.022,-0.003,0.038,-1.601,-0.004,-1.543,0,0
25.24,1,0.028,-0.007,0.047,-0.01,-0.001,0.041,-1.606,-0.004,-1.544,0,0
25.33,1,-0.012,-0.01,0.023,-0.01,-0.004,0.037,-1.61,-0.006,-1.543,0,0
25.43,1,-0.052,0.023,0.025,-0.014,0.002,0.026,-1.612,-0.007,-1.543,0,0
25.53,1,-0.013,0.035,0.037,-0.031,0.021,0.029,-1.618,-0.006,-1.542,0,0
25.64,1,0.031,0.01,0.042,-0.002,0.021,0.042,-1.62,-0.007,-1.541,0,0
25.73,1,-0.023,-0.002,-0.009,0.004,0.009,0.017,-1.618,-0.003,-1.541,0,0
25.84,1,0.037,-0.034,0.046,0.01,-0.013,0.024,-1.621,-0.001,-1.54,0,0
25.94,1,0.039,-0.04,0.028,0.029,-0.027,0.031,-1.623,-0.001,-1.54,0,0
26.03,1,0.007,-0.006,-0.002,0.028,-0.029,0.018,-1.621,-0.007,-1.541,0,0
26.13,1,-0.02,0.02,0.019,-0.004,-0.001,0.007,-1.621,-0.011,-1.541,0,0
26.23,1,-0.049,-0.022,0.018,-0.035,-0.003,0.015,-1.62,-0.01,-1.54,0,0
26.33,1,0.033,-0.027,0.027,-0.003,-0.016,0.024,-1.621,-0.011,-1.54,0,0
26.44,1,0.045,-0.02,0.022,0.028,-0.019,0.025,-1.623,-0.014,-1.54,0,0
26.53,1,0.001,0.002,0.022,0.023,-0.011,0.021,-1.622,-0.017,-1.54,0,0
26.63,1,-0.043,0.006,-0.007,-0.008,-0.004,0.011,-1.623,-0.021,-1.54,0,0
26.74,1,-0.069,0.014,-0.005,-0.047,0.009,0.002,-1.624,-0.022,-1.54,0,0
26.84,1,-0.054,-0.015,-0.003,-0.051,0.003,-0.001,-1.625,-0.021,-1.54,0,0
26.94,1,-0.045,-0.012,-0.026,-0.051,-0.009,-0.012,-1.623,-0.019,-1.54,0,0
27.04,1,-0.002,0,0.005,-0.033,-0.008,-0.013,-1.625,-0.017,-1.54,0,0
27.14,1,-0.017,0.021,-0.018,-0.024,0.011,-0.009,-1.624,-0.018,-1.539,0,0
27.24,1,-0.025,-0.047,-0.011,-0.015,-0.016,-0.012,-1.622,-0.017,-1.539,0,0
27.34,1,0.025,-0.023,0.016,-0.001,-0.025,0.001,-1.622,-0.017,-1.539,0,0
27.44,1,0.014,-0.012,-0.035,0.011,-0.019,-0.011,-1.618,-0.016,-1.539,0,0
27.54,1,-0.006,-0.026,-0.03,0.004,-0.019,-0.027,-1.613,-0.012,-1.538,0,0
27.65,1,0.014,-0.01,-0.013,0.013,-0.023,-0.017,-1.611,-0.011,-1.537,0,0
27.74,1,-0.022,-0.015,-0.021,-0.005,-0.013,-0.018,-1.607,-0.007,-1.535,0,0
27.84,1,-0.028,-0.038,-0.035,-0.021,-0.023,-0.025,-1.604,-0.004,-1.534,0,0
27.94,1,0.002,-0.008,-0.047,-0.016,-0.025,-0.032,-1.599,-0.003,-1.534,0,0
28.04,1,-0.017,-0.004,-0.05,-0.009,-0.009,-0.045,-1.593,-0.004,-1.533,0,0
28.14,1,-0.03,-0.007,-0.056,-0.027,-0.003,-0.056,-1.588,-0.004,-1.532,0,0
28.24,1,-0.05,-0.011,-0.058,-0.026,-0.012,-0.055,-1.584,-0.004,-1.531,0,0
28.35,1,-0.014,-0.034,-0.045,-0.028,-0.018,-0.052,-1.58,-0.003,-1.529,0,0
28.44,1,-0.028,-0.023,-0.042,-0.03,-0.025,-0.046,-1.577,-0.002,-1.528,0,0
28.54,1,-0.005,-0.027,-0.025,-0.011,-0.029,-0.038,-1.577,-0.003,-1.527,0,0
28.64,1,-0.001,-0.024,-0.032,-0.014,-0.024,-0.033,-1.575,-0.003,-1.526,0,0
28.75,1,0.005,0.004,-0.025,0.006,-0.02,-0.024,-1.574,-0.004,-1.524,0,0
28.84,1,-0.029,-0.003,-0.041,-0.02,0.005,-0.037,-1.573,-0.004,-1.523,0,0
28.94,1,-0.06,-0.018,-0.007,-0.039,-0.009,-0.025,-1.572,-0.003,-1.52,0,0
29.04,1,-0.035,-0.034,-0.033,-0.027,-0.024,-0.019,-1.573,0.001,-1.518,0,0
29.14,1,0.052,-0.075,-0.035,-0.003,-0.047,-0.034,-1.571,0.003,-1.515,0,0
29.24,1,0,-0.056,0.037,0.007,-0.058,-0.003,-1.565,0.003,-1.513,0,0
29.35,1,-0.001,-0.063,0.008,0.017,-0.063,0.013,-1.565,0,-1.511,0,0
29.44,1,0,-0.03,0.025,-0.025,-0.038,0.01,-1.566,-0.002,-1.509,0,0
29.55,1,-0.019,0.001,-0.003,0.006,-0.026,0.008,-1.565,0,-1.507,0,0
29.64,1,-0.017,-0.033,0.022,-0.015,-0.025,0.014,-1.568,0.004,-1.504,0,0
29.74,1,-0.031,-0.026,0.005,-0.02,-0.026,0.016,-1.573,0.007,-1.501,0,0
29.84,1,-0.018,-0.037,0.022,-0.027,-0.027,0.012,-1.575,0.009,-1.499,0,0
29.94,1,-0.024,-0.031,0.001,-0.017,-0.036,0.014,-1.575,0.011,-1.496,0,0
30.04,1,0.052,-0.053,0.051,0.004,-0.039,0.022,-1.576,0.012,-1.493,0,0
30.14,1,-0.076,-0.024,0.014,-0.015,-0.038,0.027,-1.58,0.013,-1.49,0,0
30.25,1,0.041,-0.05,0.022,-0.004,-0.039,0.023,-1.582,0.016,-1.487,0,0
30.35,1,-0.016,-0.029,-0.004,0.002,-0.037,0.011,-1.584,0.022,-1.484,0,0
30.45,1,0.012,-0.046,0.013,-0.002,-0.038,0.009,-1.587,0.028,-1.48,0,0
30.55,1,0.005,-0.035,-0.005,0.006,-0.041,0.003,-1.59,0.029,-1.476,0,0
30.65,1,0.024,-0.026,-0.003,0.009,-0.031,0,-1.589,0.03,-1.473,0,0
30.75,1,-0.036,-0.019,-0.002,-0.007,-0.024,-0.004,-1.588,0.033,-1.469,0,0
30.85,1,-0.041,-0.037,0.019,-0.028,-0.031,0.007,-1.588,0.036,-1.465,0,0
30.95,1,-0.04,-0.009,0.002,-0.033,-0.023,0.008,-1.591,0.04,-1.461,0,0
31.05,1,0.027,-0.046,0.041,-0.008,-0.03,0.021,-1.595,0.04,-1.458,0,0
31.15,1,-0.035,-0.043,-0.003,-0.024,-0.039,0.017,-1.598,0.038,-1.454,0,0
31.25,1,-0.027,0.005,0.001,-0.009,-0.023,0.007,-1.599,0.039,-1.451,0,0
31.35,1,-0.015,0.002,0.005,-0.022,-0.003,-0.002,-1.601,0.042,-1.446,0,0
31.45,1,-0.025,-0.041,0.008,-0.022,-0.019,0.007,-1.6,0.043,-1.443,0,0
31.55,1,-0.042,-0.029,0.022,-0.03,-0.027,0.015,-1.599,0.046,-1.44,0,0
31.65,1,-0.021,-0.001,0.029,-0.026,-0.018,0.017,-1.6,0.048,-1.437,0,0
31.75,1,-0.007,0.011,0.031,-0.021,-0.001,0.03,-1.603,0.05,-1.434,0,0
31.85,1,0.008,0.009,0.023,-0.007,0.008,0.025,-1.605,0.049,-1.431,0,0
31.96,1,-0.01,0.007,0.041,-0.006,0.005,0.03,-1.607,0.049,-1.428,0,0
32.06,1,0.015,0.009,0.035,-0.001,0.009,0.04,-1.613,0.046,-1.424,0,0
32.15,1,-0.01,0.009,0.027,0.009,0.006,0.032,-1.615,0.047,-1.421,0,0
32.25,1,-0.022,0.006,0.034,-0.011,0.007,0.03,-1.616,0.05,-1.418,0,0
32.35,1,-0.048,0.004,0.011,-0.025,0.007,0.021,-1.618,0.052,-1.415,0,0
32.46,1,-0.003,0.017,0.052,-0.026,0.009,0.035,-1.62,0.05,-1.412,0,0
32.55,1,-0.017,0.035,0.021,-0.017,0.022,0.031,-1.624,0.048,-1.406,0,0
32.65,1,-0.032,-0.008,0.003,-0.02,0.018,0.018,-1.627,0.048,-1.402,0,0
32.75,1,-0.058,-0.042,0.043,-0.043,-0.017,0.023,-1.632,0.049,-1.399,0,0
32.86,1,-0.015,-0.03,0.009,-0.023,-0.031,0.025,-1.635,0.05,-1.395,0,0
32.95,1,-0.041,-0.021,0.018,-0.042,-0.02,0.014,-1.635,0.053,-1.39,0,0
33.06,1,-0.036,-0.05,0.02,-0.029,-0.038,0.018,-1.638,0.056,-1.385,0,0
33.16,1,-0.054,-0.012,0.001,-0.051,-0.027,0.013,-1.638,0.058,-1.38,0,0
33.26,1,-0.008,-0.056,0.018,-0.03,-0.041,0.012,-1.642,0.062,-1.374,0,0
33.35,1,0.02,-0.067,0.004,-0.012,-0.048,0.006,-1.642,0.064,-1.369,0,0
33.45,1,0.023,-0.037,-0.001,0.018,-0.047,0.002,-1.64,0.064,-1.365,0,0
33.56,1,-0.02,-0.026,0.009,0.005,-0.036,0.004,-1.641,0.063,-1.36,0,0
33.66,1,-0.05,-0.015,-0.015,-0.018,-0.027,0.004,-1.641,0.064,-1.355,0,0
33.76,1,-0.078,-0.014,0.016,-0.058,-0.024,0.002,-1.64,0.066,-1.351,0,0
33.86,1,-0.06,0.012,0,-0.069,-0.006,0.008,-1.641,0.069,-1.347,0,0
33.96,1,-0.012,0.003,0.013,-0.037,0.004,-0.001,-1.642,0.068,-1.343,0,0
34.06,1,0,-0.006,0.023,-0.019,0.002,0.015,-1.642,0.07,-1.339,0,0
34.16,1,0.041,-0.003,0.004,0.01,-0.009,0.018,-1.642,0.071,-1.334,0,0
34.26,1,-0.036,0.022,-0.011,-0.002,0.006,-0.003,-1.64,0.07,-1.332,0,0
34.37,1,-0.029,0.06,0.011,-0.021,0.029,0.004,-1.642,0.065,-1.33,0,0
34.46,1,-0.048,0.034,-0.021,-0.029,0.043,-0.006,-1.641,0.065,-1.327,0,0
34.56,1,-0.026,0.004,0.033,-0.044,0.028,0.009,-1.644,0.067,-1.324,0,0
34.66,1,0.053,0.023,0,0.005,0.016,0.014,-1.643,0.068,-1.322,0,0
34.76,1,0.013,0.057,-0.022,0.019,0.036,-0.004,-1.642,0.06,-1.321,0,0
34.86,1,-0.071,0.076,-0.026,-0.017,0.056,-0.016,-1.642,0.051,-1.32,0,0
34.96,1,-0.139,0.051,-0.006,-0.075,0.056,-0.02,-1.643,0.048,-1.318,0,0
35.06,1,-0.122,0.048,-0.004,-0.114,0.054,-0.004,-1.646,0.046,-1.316,0,0
35.16,1,-0.025,0.02,0.027,-0.082,0.039,0.002,-1.647,0.045,-1.314,0,0
35.26,1,0.046,0.041,0.011,-0.016,0.032,0.015,-1.646,0.044,-1.313,0,0
35.36,1,0.034,0.032,-0.001,0.021,0.037,0.004,-1.644,0.041,-1.312,0,0
35.46,1,-0.018,0.045,-0.023,0.009,0.038,-0.001,-1.645,0.038,-1.311,0,0
35.56,1,-0.049,0.04,0.016,-0.019,0.046,-0.008,-1.645,0.034,-1.31,0,0
35.67,1,0.003,0.022,0.004,-0.016,0.032,0.01,-1.645,0.034,-1.308,0,0
35.76,1,-0.044,0.023,-0.028,-0.023,0.025,-0.011,-1.641,0.035,-1.305,0,0
35.86,1,0.009,-0.015,-0.021,-0.021,0.012,-0.018,-1.639,0.038,-1.303,0,0
35.96,1,0.012,-0.019,-0.014,0.007,-0.012,-0.016,-1.639,0.037,-1.301,0,0
36.06,1,0.006,0.03,0.004,0.004,0.005,-0.012,-1.638,0.034,-1.298,0,0
36.17,1,0.028,0.019,0.036,0.014,0.018,0.015,-1.64,0.03,-1.296,0,0
36.26,1,0.044,0.016,0.013,0.032,0.014,0.017,-1.639,0.028,-1.294,0,0
36.36,1,0.024,0.013,0.015,0.037,0.019,0.019,-1.635,0.028,-1.292,0,0
36.46,1,-0.012,-0.035,0.019,0.013,-0.006,0.018,-1.63,0.03,-1.29,0,0
36.56,1,-0.089,0.009,0.031,-0.038,-0.01,0.023,-1.631,0.03,-1.288,0,0
36.67,1,-0.087,0.04,0.043,-0.077,0.014,0.028,-1.632,0.026,-1.287,0,0
36.76,1,-0.052,-0.006,-0.002,-0.07,0.021,0.028,-1.633,0.024,-1.286,0,0
36.87,1,0.053,0.02,0.025,-0.014,0.006,0.017,-1.633,0.024,-1.283,0,0
36.97,1,0.074,0.048,-0.001,0.034,0.018,0.009,-1.632,0.023,-1.285,0,0
37.07,1,0.003,0.102,-0.025,0.043,0.072,-0.003,-1.631,0.023,-1.284,0,0
37.17,1,0,0.063,0.002,0.014,0.074,-0.009,-1.631,0.023,-1.285,0,0
37.27,1,-0.091,0.09,-0.009,-0.035,0.079,-0.005,-1.63,0.018,-1.285,0,0
37.37,1,-0.006,0.058,-0.002,-0.033,0.076,-0.008,-1.629,0.012,-1.285,0,0
37.47,1,-0.017,0.042,-0.008,-0.023,0.052,-0.006,-1.629,0.004,-1.283,0,0
37.57,1,-0.024,0.028,0.009,-0.025,0.042,0.002,-1.632,0,-1.282,0,0
37.67,1,-0.018,0.011,-0.003,-0.018,0.027,0.001,-1.632,-0.002,-1.281,0,0
37.77,1,0.017,0.026,0.019,-0.007,0.023,0.009,-1.632,-0.004,-1.282,0,0
37.87,1,-0.002,0.014,-0.023,0.003,0.018,-0.002,-1.63,-0.005,-1.281,0,0
37.97,1,-0.033,0.014,0,-0.014,0.018,-0.006,-1.628,-0.006,-1.281,0,0
38.08,1,0.006,-0.004,0.02,-0.009,0.008,0.006,-1.63,-0.007,-1.279,0,0
38.17,1,-0.014,-0.019,0.003,-0.009,-0.005,0.007,-1.632,-0.004,-1.277,0,0
38.27,1,-0.018,-0.02,0.001,-0.014,-0.014,0.006,-1.632,-0.002,-1.275,0,0
38.37,1,-0.009,-0.019,-0.004,-0.014,-0.021,-0.002,-1.633,0.001,-1.272,0,0
38.47,1,0.009,-0.044,-0.006,-0.004,-0.03,-0.003,-1.633,0.004,-1.27,0,0
38.57,1,-0.041,-0.008,-0.019,-0.007,-0.029,-0.009,-1.631,0.004,-1.268,0,0
38.67,1,-0.001,-0.015,0.016,-0.024,-0.011,-0.004,-1.633,0.006,-1.267,0,0
38.77,1,-0.032,0.014,-0.012,-0.023,0.002,-0.002,-1.634,0.007,-1.264,0,0
38.87,1,0.013,-0.019,-0.009,-0.005,-0.01,-0.006,-1.634,0.008,-1.262,0,0
38.97,1,-0.066,0.005,-0.005,-0.028,-0.004,-0.009,-1.634,0.012,-1.26,0,0
39.07,1,0.035,-0.017,0.011,-0.012,-0.008,0.005,-1.634,0.014,-1.258,0,0
39.17,1,0.004,-0.002,-0.003,0.003,-0.004,0.002,-1.632,0.014,-1.257,0,0
39.28,1,-0.012,0.003,-0.022,0.007,-0.003,-0.01,-1.63,0.012,-1.255,0,0
39.37,1,-0.048,-0.005,0.003,-0.021,-0.002,-0.01,-1.63,0.011,-1.252,0,0
39.47,1,0.005,-0.022,0.025,-0.022,-0.011,0.009,-1.632,0.012,-1.25,0,0
39.57,1,0.005,-0.017,-0.007,-0.005,-0.019,0.005,-1.632,0.012,-1.248,0,0
39.67,1,-0.025,-0.004,0,-0.008,-0.013,-0.001,-1.63,0.011,-1.246,0,0
39.77,1,-0.033,0.005,-0.007,-0.029,0.005,-0.001,-1.629,0.009,-1.244,0,0
39.87,1,-0.016,-0.023,-0.007,-0.016,-0.009,0,-1.627,0.007,-1.242,0,0
39.98,1,0.018,0.006,-0.035,-0.001,-0.007,-0.022,-1.624,0.008,-1.24,0,0
40.07,1,-0.014,-0.013,-0.029,-0.002,-0.008,-0.028,-1.622,0.009,-1.238,0,0
40.17,1,-0.011,-0.001,-0.02,-0.019,-0.008,-0.023,-1.62,0.007,-1.235,0,0
40.28,1,0.032,0.013,-0.016,0.017,-0.002,-0.016,-1.619,0.007,-1.234,0,0
40.38,1,0.003,-0.006,-0.031,0.011,0.004,-0.024,-1.616,0.008,-1.232,0,0
